Keypoints on Vehicle,,,,,,,,,,
HARRIS,17,14,18,21,26,43,18,31,26,26
FAST,224,227,223,232,215,222,219,213,212,220
BRISK,225,227,223,232,215,222,219,213,212,220
ORB,92,102,106,113,109,125,130,129,127,128
AKAZE,166,157,161,155,163,164,173,175,177,179
SIFT,138,132,124,137,134,140,137,148,159,137
SHITOMASI,125,118,123,120,120,113,114,123,111,112
,,,,,,,,,,
Matched Keypoints,,,,,,,,,,
BRISK BRIEF,BRISK BRISK,BRISK ORB,BRISK FREAK,BRISK AKAZE,BRISK SIFT,,,,,
264,264,264,242,264,264,,,,,
282,282,282,260,282,282,,,,,
282,282,282,263,282,282,,,,,
277,277,277,264,277,277,,,,,
297,297,297,274,297,297,,,,,
279,279,279,256,279,279,,,,,
289,289,289,269,289,289,,,,,
272,272,272,255,272,272,,,,,
266,266,266,243,266,266,,,,,
FAST BRIEF,FAST BRISK,FAST ORB,FAST FREAK,FAST AKAZE,FAST SIFT,,,,,
224,224,224,224,224,224,,,,,
227,227,227,227,227,227,,,,,
223,223,223,223,223,223,,,,,
232,232,232,232,232,232,,,,,
215,215,215,215,215,215,,,,,
222,222,222,222,222,222,,,,,
219,219,219,219,219,219,,,,,
213,213,213,213,213,213,,,,,
212,212,212,212,212,212,,,,,
SIFT BRIEF,SIFT BRISK,SIFT ORB,SIFT FREAK,SIFT AKAZE,SIFT SIFT,,,,,
138,137,out of memory,137,138,138,,,,,
132,132,,131,132,132,,,,,
124,124,,123,124,124,,,,,
137,137,,136,137,137,,,,,
134,134,,133,134,134,,,,,
140,140,,139,140,140,,,,,
137,137,,135,137,137,,,,,
148,148,,147,148,148,,,,,
159,159,,158,159,159,,,,,
HARRIS BRIEF,HARRIS BRISK,HARRIS ORB,HARRIS FREAK,HARRIS AKAZE,HARRIS SIFT,,,,,
17,17,17,17,17,17,,,,,
14,14,14,14,14,14,,,,,
18,18,18,18,18,18,,,,,
21,21,21,21,21,21,,,,,
26,26,26,26,26,26,,,,,
43,43,43,43,43,43,,,,,
18,18,18,18,18,18,,,,,
31,31,31,31,31,31,,,,,
26,26,26,26,26,26,,,,,
ORB BRIEF,ORB BRISK,ORB ORB,ORB FREAK,ORB AKAZE,ORB SIFT,,,,,
92,83,92,46,92,92,,,,,
102,93,102,53,102,102,,,,,
106,95,106,56,106,106,,,,,
113,103,113,65,113,113,,,,,
109,101,109,55,109,109,,,,,
125,116,125,64,125,125,,,,,
130,120,130,66,130,130,,,,,
129,120,129,71,129,129,,,,,
127,119,127,73,127,127,,,,,
AKAZE BRIEF,AKAZE BRISK,AKAZE ORB,AKAZE FREAK,AKAZE AKAZE,AKAZE SIFT,,,,,
166,166,166,166,166,166,,,,,
157,157,157,157,157,157,,,,,
161,161,161,161,161,161,,,,,
155,155,155,155,155,155,,,,,
163,163,163,163,163,163,,,,,
164,164,164,164,164,164,,,,,
173,173,173,173,173,173,,,,,
175,175,175,175,175,175,,,,,
177,177,177,177,177,177,,,,,
SHITOMASI BRIEF,SHITOMASI BRISK,SHITOMASI ORB,SHITOMASI FREAK,SHITOMASI AKAZE,SHITOMASI SIFT,,,,,
125,125,125,125,125,125,,,,,
118,118,118,118,118,118,,,,,
123,123,123,123,123,123,,,,,
120,120,120,120,120,120,,,,,
120,120,120,120,120,120,,,,,
113,113,113,113,113,113,,,,,
114,114,114,114,114,114,,,,,
123,123,123,123,123,123,,,,,
111,111,111,111,111,111,,,,,
,,,,,,,,,,
Times for keypoint detection and descriptor extraction,,,,,,,,,,
BRISK BRIEF,BRISK BRISK,BRISK ORB,BRISK FREAK,BRISK AKAZE,BRISK SIFT,,,,,
